frame,file,t,p_Pa,lam_max,V_m3,V_mL,Psi_J,Psi_neg_elems,gap_m,gap_mm,gap_signed_m,punch,n_quads,n_tris
0,Ainflate_A001.vtk,0.0,0.0,1.0000000074505808,0.0003539850907624147,353.9850907624147,0.0,0,0.0,0.0,0.0,False,1554,0
1,Ainflate_A002.vtk,0.00202191,3285.60375,1.3130040960524376,0.00043235305883479957,432.3530588347996,0.23786349767638984,0,6.2915831997832296e-09,6.29158319978323e-06,6.2915831997832296e-09,False,1554,0
2,Ainflate_A003.vtk,0.00401164,6518.915,1.624537525482387,0.0004212534505639568,421.2534505639568,0.6375471514024523,0,7.4038042876265015e-09,7.403804287626501e-06,-7.4038042876265015e-09,False,1554,0
3,Ainflate_A004.vtk,0.00601304,9771.189999999999,1.4070243729858052,0.00047580374112288844,475.8037411228884,0.7571612273438633,0,5.181967972149603e-08,5.181967972149603e-05,5.181967972149603e-08,False,1554,0
4,Ainflate_A005.vtk,0.00801312,13021.32,1.473981520543813,0.00050052306740387,500.52306740387,0.9465551036018119,0,4.847800199966103e-08,4.847800199966103e-05,-4.847800199966103e-08,False,1554,0
5,Ainflate_A006.vtk,0.0100138,16272.425,1.5529489617980679,0.0005240979531426404,524.0979531426404,1.3087690926624154,0,3.4371123070724805e-09,3.4371123070724806e-06,3.4371123070724805e-09,False,1554,0
6,Ainflate_A007.vtk,0.0120072,19511.7,1.535686372575195,0.0005540930393468886,554.0930393468885,1.7898669789124726,0,6.201407646904553e-08,6.201407646904553e-05,6.201407646904553e-08,False,1554,0
7,Ainflate_A008.vtk,0.0140218,22785.425,1.5647366113958006,0.0005920915474029847,592.0915474029847,2.4903233009871495,0,5.9394355303178244e-08,5.9394355303178244e-05,5.9394355303178244e-08,False,1554,0
8,Ainflate_A009.vtk,0.0160044,26007.149999999998,1.6369314754992421,0.0006381558139496369,638.1558139496369,3.400209919251467,0,3.866043411439903e-08,3.866043411439903e-05,3.866043411439903e-08,False,1554,0
9,Ainflate_A010.vtk,0.0180215,29284.9375,1.7542331133233546,0.0006992335712290244,699.2335712290244,4.666556005916734,0,1.1778514241907633e-07,0.00011778514241907633,-1.1778514241907633e-07,False,1554,0
10,Ainflate_A011.vtk,0.0200035,32505.6875,1.9157917134840012,0.0007808855348502648,780.8855348502648,6.493492550780746,0,1.5960760511898266e-08,1.5960760511898265e-05,-1.5960760511898266e-08,False,1554,0
11,Ainflate_A012.vtk,0.0220118,35769.174999999996,2.1403635915940185,0.0009018243076553854,901.8243076553854,9.501507844134085,0,2.268577831885306e-09,2.268577831885306e-06,2.268577831885306e-09,False,1554,0
12,Ainflate_A013.vtk,0.0240133,39021.6125,2.5224792950133006,0.0011115240035870168,1111.5240035870168,15.509171494360876,0,1.555739688700126e-08,1.555739688700126e-05,1.555739688700126e-08,False,1554,0
13,Ainflate_A014.vtk,0.0260033,42255.3625,3.5664206631104003,0.0017535414884466273,1753.5414884466272,37.084351749348954,0,1.6924885098566677e-08,1.6924885098566676e-05,-1.6924885098566677e-08,False,1554,0
14,Ainflate_A015.vtk,0.0276729,44968.4625,60.973265395541496,0.04839185138661632,48391.85138661632,1700.0609972062114,0,2.978085164464297e-08,2.978085164464297e-05,-2.978085164464297e-08,False,1554,0
