frame,file,t,p_Pa,lam_max,V_m3,V_mL,Psi_J,Psi_neg_elems,gap_m,gap_mm,gap_signed_m,punch,n_quads,n_tris
0,Ainflate_A001.vtk,0.0,0.0,1.0000000074505808,0.0004169315515609362,416.9315515609362,0.0,0,0.0,0.0,0.0,False,936,0
1,Ainflate_A002.vtk,0.00200125,3252.03125,1.7676920382387482,0.0005189970629667836,518.9970629667836,0.49181139491310294,0,3.531267495700652e-08,3.531267495700652e-05,-3.531267495700652e-08,False,936,0
2,Ainflate_A003.vtk,0.0040003,6500.4875,1.7884070684834543,0.0005398983326997388,539.8983326997387,1.013775723448743,0,2.0882289882112846e-10,2.0882289882112845e-07,2.0882289882112846e-10,False,936,0
3,Ainflate_A004.vtk,0.00601068,9767.355,1.603795182574031,0.0005844087813730521,584.4087813730521,1.1905603386220327,0,9.024794173711299e-09,9.0247941737113e-06,9.024794173711299e-09,False,936,0
4,Ainflate_A005.vtk,0.00800022,13000.3575,1.4996877849091226,0.0006221107530709899,622.11075307099,1.4901572525331641,0,1.3098724463645208e-09,1.3098724463645208e-06,-1.3098724463645208e-09,False,936,0
5,Ainflate_A006.vtk,0.010001,16251.625,1.6476067709567956,0.0006654126141319049,665.4126141319049,2.3308011444362475,0,3.7113696508403455e-08,3.711369650840346e-05,3.7113696508403455e-08,False,936,0
6,Ainflate_A007.vtk,0.0120002,19500.325,1.777966964503088,0.0007197844126022492,719.7844126022493,3.388535555788582,0,2.4085406788808138e-08,2.4085406788808138e-05,2.4085406788808138e-08,False,936,0
7,Ainflate_A008.vtk,0.0140021,22753.4125,1.9769144380257007,0.0007902865721714296,790.2865721714296,5.001013669353613,0,4.5174717987372443e-07,0.00045174717987372443,-4.5174717987372443e-07,False,936,0
8,Ainflate_A009.vtk,0.0160036,26005.85,2.2596796643486607,0.000888422802197154,888.422802197154,7.616768651842335,0,1.0073605147518261e-07,0.0001007360514751826,1.0073605147518261e-07,False,936,0
9,Ainflate_A010.vtk,0.0180022,29253.574999999997,2.6453303750046566,0.0010468560004844038,1046.856000484404,12.23430242761213,0,1.6514201015821717e-07,0.00016514201015821716,-1.6514201015821717e-07,False,936,0
10,Ainflate_A011.vtk,0.0200024,32503.899999999998,3.5288343428230755,0.0014965515027838207,1496.5515027838208,26.147952450833913,0,1.1052000991052583e-07,0.00011052000991052583,1.1052000991052583e-07,False,936,0
11,Ainflate_A012.vtk,0.0220005,35750.8125,15.0368862997833,0.016449010934314334,16449.010934314334,374.94001572268803,0,1.3385483725882597e-07,0.00013385483725882597,1.3385483725882597e-07,False,936,0
12,Ainflate_A013.vtk,0.0220926,35900.475,20.397952222917787,0.028395778758482114,28395.778758482113,592.9567966542813,0,2.1427248115360045e-07,0.00021427248115360044,-2.1427248115360045e-07,False,936,0
