frame,file,t,p_Pa,lam_max,V_m3,V_mL,Psi_J,Psi_neg_elems,gap_m,gap_mm,gap_signed_m,punch,n_quads,n_tris
0,Ainflate_A001.vtk,0.0,0.0,1.0000000074505808,0.00035398510709670343,353.9851070967034,0.0,0,0.0,0.0,0.0,False,6216,0
1,Ainflate_A002.vtk,0.00200333,3255.41125,1.4021896970728942,0.00043182699541464547,431.82699541464547,0.14454571854015882,0,0.0,0.0,0.0,False,6216,0
2,Ainflate_A003.vtk,0.00400022,6500.357499999999,1.6855812680925542,0.00044150922731026044,441.5092273102604,0.2112950008701361,0,1.8750346777507636e-09,1.8750346777507636e-06,1.8750346777507636e-09,False,6216,0
3,Ainflate_A004.vtk,0.00600454,9757.3775,1.5263478813873503,0.0004727721190419142,472.77211904191415,0.3782180363563833,0,2.837114334442913e-09,2.8371143344429127e-06,2.837114334442913e-09,False,6216,0
4,Ainflate_A005.vtk,0.00800286,13004.647500000001,1.4703766817840689,0.0004940952209667259,494.0952209667259,0.6281918566092568,0,5.500173369298326e-09,5.5001733692983256e-06,-5.500173369298326e-09,False,6216,0
5,Ainflate_A006.vtk,0.010007,16261.374999999998,1.4400103378971565,0.0005189313200930709,518.9313200930709,0.9746468035195326,0,3.896623308436567e-11,3.896623308436567e-08,3.896623308436567e-11,False,6216,0
6,Ainflate_A007.vtk,0.0120053,19508.6125,1.51107173577249,0.0005487790909777776,548.7790909777776,1.4343432398124272,0,3.5930990431780993e-09,3.5930990431780992e-06,3.5930990431780993e-09,False,6216,0
7,Ainflate_A008.vtk,0.014006,22759.749999999996,1.5906020033201789,0.0005866454367143206,586.6454367143207,2.059037799472928,0,2.2844797565936513e-10,2.2844797565936512e-07,2.2844797565936513e-10,False,6216,0
8,Ainflate_A009.vtk,0.0160067,26010.887499999997,1.6967687391752275,0.0006344765301025746,634.4765301025747,2.914541311531127,0,7.206492374645732e-10,7.206492374645731e-07,-7.206492374645732e-10,False,6216,0
9,Ainflate_A010.vtk,0.0180082,29263.324999999997,1.8263196788089797,0.0006972285815830428,697.2285815830428,4.125925488682673,0,2.4705216955169764e-09,2.4705216955169763e-06,-2.4705216955169764e-09,False,6216,0
10,Ainflate_A011.vtk,0.0200069,32511.2125,1.992001501808443,0.0007802206535681136,780.2206535681136,5.875912624516725,0,2.783186745346098e-10,2.783186745346098e-07,-2.783186745346098e-10,False,6216,0
11,Ainflate_A012.vtk,0.0220071,35761.5375,2.230237105872328,0.000901546876864852,901.546876864852,8.776310381922896,0,1.8070375842231476e-09,1.8070375842231476e-06,1.8070375842231476e-09,False,6216,0
12,Ainflate_A013.vtk,0.0240073,39011.862499999996,2.640384325097153,0.0011133819277528878,1113.3819277528878,14.692590196929432,0,5.6054147197779706e-09,5.60541471977797e-06,-5.6054147197779706e-09,False,6216,0
13,Ainflate_A014.vtk,0.0260066,42260.725,3.8062122114752865,0.0017845887974228885,1784.5887974228885,37.00190971888587,0,1.8256865309072422e-09,1.8256865309072422e-06,-1.8256865309072422e-09,False,6216,0
14,Ainflate_A015.vtk,0.0274573,44618.1125,35.01188304676832,0.021812089962632716,21812.089962632715,578.1614632878451,0,5.118529451587495e-09,5.118529451587495e-06,-5.118529451587495e-09,False,6216,0
