frame,file,t,p_Pa,lam_max,V_m3,V_mL,Psi_J,Psi_neg_elems,gap_m,gap_mm,gap_signed_m,punch,n_quads,n_tris
0,Ainflate_A001.vtk,0.0,0.0,1.0000000074505808,0.0003539851008715003,353.9851008715003,0.0,0,nan,nan,nan,False,24864,0
1,Ainflate_A002.vtk,0.00200002,3250.0325,1.4065308368346408,0.000428817858703182,428.81785870318197,0.08029936620734661,0,nan,nan,nan,False,24864,0
2,Ainflate_A003.vtk,0.00400037,6500.60125,1.7019705559297664,0.00044085203258705565,440.85203258705565,0.12157397460272504,0,nan,nan,nan,False,24864,0
3,Ainflate_A004.vtk,0.00600015,9750.24375,1.4282549485612568,0.00047211131449975734,472.1113144997573,0.30860622583510366,0,nan,nan,nan,False,24864,0
4,Ainflate_A005.vtk,0.00800123,13001.998749999999,1.4831126172085352,0.0004931442355630023,493.1442355630023,0.5527901660465117,0,nan,nan,nan,False,24864,0
5,Ainflate_A006.vtk,0.0100022,16253.574999999999,1.5062556835360619,0.0005176684085236015,517.6684085236016,0.891350423762029,0,nan,nan,nan,False,24864,0
6,Ainflate_A007.vtk,0.0120029,19504.7125,1.5931126066820493,0.0005474297254141687,547.4297254141687,1.3446638313320871,0,nan,nan,nan,False,24864,0
7,Ainflate_A008.vtk,0.0140003,22750.4875,1.6849738374847232,0.0005851737567957136,585.1737567957135,1.9593337049234374,0,nan,nan,nan,False,24864,0
8,Ainflate_A009.vtk,0.016001,26001.625,1.8064595903328529,0.000632786237209295,632.786237209295,2.801851617260566,0,nan,nan,nan,False,24864,0
9,Ainflate_A010.vtk,0.0180011,29251.7875,1.9597524640144668,0.0006952213084548221,695.2213084548221,3.9938158059758146,0,nan,nan,nan,False,24864,0
10,Ainflate_A011.vtk,0.0200029,32504.7125,2.1479313658446633,0.0007783135015228792,778.3135015228792,5.730576064143636,0,nan,nan,nan,False,24864,0
11,Ainflate_A012.vtk,0.0220014,35752.275,2.4180712291427295,0.0008995910158701896,899.5910158701896,8.60943100165176,0,nan,nan,nan,False,24864,0
12,Ainflate_A013.vtk,0.0240013,39002.112499999996,2.8751267401113187,0.0011119285054018492,1111.9285054018492,14.504231917473383,0,nan,nan,nan,False,24864,0
13,Ainflate_A014.vtk,0.0260031,42255.0375,4.179017935387638,0.0017978603718302657,1797.8603718302656,37.196363773944086,0,nan,nan,nan,False,24864,0
14,Ainflate_A015.vtk,0.0273775,44488.43749999999,54.0399782524383,0.016829463304170168,16829.463304170167,491.14271517228434,0,nan,nan,nan,False,24864,0
