frame,file,t,p_Pa,lam_max,V_m3,V_mL,Psi_J,Psi_neg_elems,gap_m,gap_mm,gap_signed_m,punch,n_quads,n_tris
0,Ainflate_A001.vtk,0.0,0.0,1.0000000074505808,0.0003539851339075007,353.9851339075007,0.0,0,nan,nan,nan,False,99456,0
1,Ainflate_A002.vtk,0.00200002,3250.0325,1.7145187849215802,0.0004250317306810917,425.03173068109174,0.05237232049170249,0,nan,nan,nan,False,99456,0
2,Ainflate_A003.vtk,0.00400023,6500.37375,1.6873671159554764,0.00044026585673701126,440.2658567370113,0.09620312844188894,0,nan,nan,nan,False,99456,0
3,Ainflate_A004.vtk,0.00600101,9751.64125,1.5812558654381241,0.00047142616526183454,471.4261652618345,0.2881407530778898,0,nan,nan,nan,False,99456,0
4,Ainflate_A005.vtk,0.00800065,13001.056249999998,1.5194841096070872,0.0004922191421548951,492.21914215489505,0.5256321857731607,0,nan,nan,nan,False,99456,0
5,Ainflate_A006.vtk,0.0100001,16250.162499999997,1.604061672801133,0.0005164417326364822,516.4417326364821,0.8569811739538411,0,nan,nan,nan,False,99456,0
6,Ainflate_A007.vtk,0.0120006,19500.975,1.7073515368456929,0.0005462494126000682,546.2494126000682,1.30498493452842,0,nan,nan,nan,False,99456,0
7,Ainflate_A008.vtk,0.0140005,22750.8125,1.821072151511562,0.0005839443353236528,583.9443353236528,1.9157642725855053,0,nan,nan,nan,False,99456,0
8,Ainflate_A009.vtk,0.0160005,26000.8125,1.9632870645950677,0.0006312793695567617,631.2793695567617,2.7493368213644684,0,nan,nan,nan,False,99456,0
9,Ainflate_A010.vtk,0.018,29249.999999999996,2.1370177999692817,0.0006933653144331487,693.3653144331487,3.9274807463520993,0,nan,nan,nan,False,99456,0
10,Ainflate_A011.vtk,0.0200004,32500.650000000005,2.3512544681331593,0.0007762329626797849,776.2329626797849,5.650901859523257,0,nan,nan,nan,False,99456,0
11,Ainflate_A012.vtk,0.0220005,35750.8125,2.652915455884248,0.0008971701683787531,897.170168378753,8.510505219258466,0,nan,nan,nan,False,99456,0
