frame,file,t,p_Pa,lam_max,V_m3,V_mL,Psi_J,Psi_neg_elems,gap_m,gap_mm,gap_signed_m,punch,n_quads,n_tris
0,Ainflate_A001.vtk,0.0,0.0,1.0000000074505808,0.00039503230407204637,395.0323040720464,0.0,0,0.0,0.0,0.0,False,4452,0
1,Ainflate_A002.vtk,0.00200145,3252.3562500000003,1.403091608463986,0.000476992578273148,476.99257827314796,0.23242724993082967,0,1.1827451874136756e-09,1.1827451874136757e-06,-1.1827451874136756e-09,False,4452,0
2,Ainflate_A003.vtk,0.00400192,6503.12,1.5321720032836452,0.000491616978027241,491.616978027241,0.3478914117667352,0,7.011325556498818e-09,7.011325556498819e-06,-7.011325556498818e-09,False,4452,0
3,Ainflate_A004.vtk,0.00600316,9755.135,1.5851758627604549,0.0005256378998343587,525.6378998343588,0.5824849597560768,0,3.3772327729969135e-09,3.3772327729969136e-06,3.3772327729969135e-09,False,4452,0
4,Ainflate_A005.vtk,0.00800228,13003.705,1.5523362851326925,0.000549442010637197,549.442010637197,0.8332419360410315,0,5.816903399510638e-09,5.816903399510638e-06,-5.816903399510638e-09,False,4452,0
5,Ainflate_A006.vtk,0.0100002,16250.325000000003,1.6179857926068901,0.0005773876747333493,577.3876747333493,1.1975038586654718,0,2.3687827913347957e-09,2.3687827913347957e-06,-2.3687827913347957e-09,False,4452,0
6,Ainflate_A007.vtk,0.0120043,19506.987500000003,1.710097834071084,0.0006074811674020851,607.4811674020851,1.745270824996557,0,1.4035924572563043e-09,1.4035924572563042e-06,1.4035924572563043e-09,False,4452,0
7,Ainflate_A008.vtk,0.0140023,22753.737500000003,1.7878008944927481,0.0006418209370697869,641.8209370697869,2.4793955318010767,0,9.295629866015699e-09,9.295629866015698e-06,9.295629866015699e-09,False,4452,0
8,Ainflate_A009.vtk,0.016004,26006.5,1.8797785822223072,0.0006812557390118105,681.2557390118105,3.445373114492023,0,3.190674797036883e-09,3.190674797036883e-06,3.190674797036883e-09,False,4452,0
9,Ainflate_A010.vtk,0.0180045,29257.312499999996,2.001377950969127,0.0007328279150581127,732.8279150581127,4.856648337820302,0,5.941963570999352e-09,5.941963570999351e-06,5.941963570999352e-09,False,4452,0
10,Ainflate_A011.vtk,0.0200088,32514.3,2.146640985056275,0.0008013223694682609,801.322369468261,6.936083920189268,0,1.0743472940445134e-08,1.0743472940445135e-05,-1.0743472940445134e-08,False,4452,0
11,Ainflate_A012.vtk,0.022006,35759.75,2.3923135012721226,0.0009069696360906477,906.9696360906477,10.487507209703175,0,1.3825504834462692e-09,1.3825504834462692e-06,-1.3825504834462692e-09,False,4452,0
12,Ainflate_A013.vtk,0.024007,39011.375,2.836777864633086,0.001107593104112251,1107.593104112251,17.917596466873206,0,6.352657236673169e-09,6.352657236673169e-06,6.352657236673169e-09,False,4452,0
13,Ainflate_A014.vtk,0.0260007,42251.137500000004,4.155759681272587,0.0018646412049343592,1864.6412049343592,47.5458357366858,0,1.1033650751721007e-09,1.1033650751721007e-06,-1.1033650751721007e-09,False,4452,0
14,Ainflate_A015.vtk,0.0274545,44613.5625,21.95225674121406,0.02287400505026196,22874.00505026196,619.2330601771415,0,5.468870791238321e-09,5.468870791238321e-06,-5.468870791238321e-09,False,4452,0
