frame,file,t,p_Pa,lam_max,V_m3,V_mL,Psi_J,Psi_neg_elems,gap_m,gap_mm,gap_signed_m,punch,n_quads,n_tris
0,Ainflate_A001.vtk,0.0,0.0,1.0000000074505808,0.00038581446138894187,385.8144613889419,0.0,0,0.0,0.0,0.0,False,3944,0
1,Ainflate_A002.vtk,0.00200994,3266.1525,1.3431135185570309,0.0004696953966658023,469.6953966658023,0.10507585915630617,0,0.0,0.0,0.0,False,3944,0
2,Ainflate_A003.vtk,0.00401147,6518.638749999999,2.235320180022033,0.0004714274807438628,471.4274807438628,0.39280838682277974,0,1.1438539139516533e-09,1.1438539139516533e-06,1.1438539139516533e-09,False,3944,0
3,Ainflate_A004.vtk,0.0060011,9751.787499999999,1.9157409910439904,0.0005102564197273298,510.2564197273298,0.542844010696123,0,5.678563927930183e-09,5.678563927930183e-06,-5.678563927930183e-09,False,3944,0
4,Ainflate_A005.vtk,0.00800677,13011.00125,1.9161066338891175,0.0005452126896059462,545.2126896059463,0.7484632531130267,0,1.0813829595435616e-08,1.0813829595435616e-05,1.0813829595435616e-08,False,3944,0
5,Ainflate_A006.vtk,0.0100095,16265.4375,1.7967802315583572,0.0005942626513418009,594.262651341801,1.1711140304901415,0,4.916552055756323e-09,4.916552055756323e-06,-4.916552055756323e-09,False,3944,0
6,Ainflate_A007.vtk,0.012009,19514.625,1.7382070439289816,0.0006637370074920753,663.7370074920752,1.7546812215310654,0,1.0784259371481251e-09,1.0784259371481252e-06,-1.0784259371481251e-09,False,3944,0
7,Ainflate_A008.vtk,0.0140035,22755.6875,1.63636794805763,0.0007724825533307551,772.4825533307552,2.452102441581409,0,4.281376018398517e-09,4.281376018398517e-06,4.281376018398517e-09,False,3944,0
8,Ainflate_A009.vtk,0.0160089,26014.462499999998,1.5949111305038044,0.000920580870276342,920.580870276342,3.273428667254587,0,3.444748093920589e-09,3.444748093920589e-06,3.444748093920589e-09,False,3944,0
9,Ainflate_A010.vtk,0.0180132,29271.45,1.656809257792919,0.0011283083467824044,1128.3083467824044,4.424411938804374,0,1.7965334823697786e-09,1.7965334823697786e-06,-1.7965334823697786e-09,False,3944,0
10,Ainflate_A011.vtk,0.0200025,32504.062499999996,1.7446131415203274,0.00142521149811829,1425.21149811829,6.054367026817208,0,6.78684841448295e-09,6.78684841448295e-06,6.78684841448295e-09,False,3944,0
11,Ainflate_A012.vtk,0.0220065,35760.5625,1.8709375369229884,0.0018630793329296228,1863.0793329296228,8.600473016773554,0,3.257755297159468e-08,3.257755297159468e-05,-3.257755297159468e-08,False,3944,0
12,Ainflate_A013.vtk,0.0240013,39002.112499999996,2.035379980569844,0.002515251758114699,2515.251758114699,12.898349678025737,0,2.820147285424314e-09,2.820147285424314e-06,2.820147285424314e-09,False,3944,0
13,Ainflate_A014.vtk,0.0260104,42266.899999999994,2.3034056906407674,0.003693626353592194,3693.626353592194,22.940421855302947,0,4.004116523478957e-09,4.0041165234789576e-06,4.004116523478957e-09,False,3944,0
14,Ainflate_A015.vtk,0.0280028,45504.549999999996,3.885016574912266,0.009422247257552904,9422.247257552905,98.91543327431086,0,2.3447823109627334e-08,2.3447823109627333e-05,-2.3447823109627334e-08,False,3944,0
15,Ainflate_A016.vtk,0.0285476,46389.85,22.494709235507003,0.03622671127653698,36226.71127653698,493.29914285542037,0,1.6923505283383002e-09,1.6923505283383e-06,-1.6923505283383002e-09,False,3944,0
