frame,file,t,p_Pa,lam_max,V_m3,V_mL,Psi_J,Psi_neg_elems,gap_m,gap_mm,gap_signed_m,punch,n_quads,n_tris
0,Ainflate_A001.vtk,0.0,0.0,1.0000000074505808,0.00038581450167002226,385.81450167002225,0.0,0,nan,nan,nan,False,15776,0
1,Ainflate_A002.vtk,0.00200207,3253.36375,1.37433814426923,0.0004673266679109574,467.3266679109574,0.06450392587714442,0,nan,nan,nan,False,15776,0
2,Ainflate_A003.vtk,0.00400112,6501.820000000001,1.9150611190269307,0.00047527935495177566,475.27935495177564,0.16691599052143755,0,nan,nan,nan,False,15776,0
3,Ainflate_A004.vtk,0.00600365,9755.931250000001,1.5157711519538342,0.0005073472716228585,507.34727162285856,0.3871239201682251,0,nan,nan,nan,False,15776,0
4,Ainflate_A005.vtk,0.00800139,13002.25875,1.5013701637107222,0.0005398929670343113,539.8929670343113,0.6072980721804432,0,nan,nan,nan,False,15776,0
5,Ainflate_A006.vtk,0.0100004,16250.650000000001,1.4404801246509602,0.0005893352769104778,589.3352769104778,1.0292408219471652,0,nan,nan,nan,False,15776,0
6,Ainflate_A007.vtk,0.0120033,19505.3625,1.5343243581896595,0.0006586366664398558,658.6366664398557,1.6024538143564835,0,nan,nan,nan,False,15776,0
7,Ainflate_A008.vtk,0.0140022,22753.574999999997,1.6136388276075626,0.0007655815796623998,765.5815796623998,2.294880427925504,0,nan,nan,nan,False,15776,0
8,Ainflate_A009.vtk,0.0160028,26004.550000000003,1.6730408104621879,0.0009127881167806421,912.7881167806421,3.109171825799488,0,nan,nan,nan,False,15776,0
9,Ainflate_A010.vtk,0.0180021,29253.4125,1.741330325986969,0.0011170041190732274,1117.0041190732275,4.232091369348947,0,nan,nan,nan,False,15776,0
10,Ainflate_A011.vtk,0.0200039,32506.337499999998,1.8414236431919297,0.0014129836276649316,1412.9836276649316,5.861181507625156,0,nan,nan,nan,False,15776,0
11,Ainflate_A012.vtk,0.0220012,35751.95,1.9852820715220274,0.0018446704617707465,1844.6704617707464,8.359019486851036,0,nan,nan,nan,False,15776,0
12,Ainflate_A013.vtk,0.0240031,39005.0375,2.165274520271087,0.0024924472062691984,2492.4472062691984,12.635913380369976,0,nan,nan,nan,False,15776,0
13,Ainflate_A014.vtk,0.0260019,42253.0875,2.468919021652275,0.003657664673584449,3657.6646735844492,22.622046757346784,0,nan,nan,nan,False,15776,0
14,Ainflate_A015.vtk,0.0280034,45505.525,4.118433614055628,0.009767082306598788,9767.082306598788,104.47708458817809,0,nan,nan,nan,False,15776,0
15,Ainflate_A016.vtk,0.0283981,46146.9125,12.542411249351602,0.021938138672302574,21938.138672302575,284.39462506695975,0,nan,nan,nan,False,15776,0
