frame,file,t,p_Pa,lam_max,V_m3,V_mL,Psi_J,Psi_neg_elems,gap_m,gap_mm,gap_signed_m,punch,n_quads,n_tris
0,Ainflate_A001.vtk,0.0,0.0,1.0000000074505808,0.0004482074047779685,448.2074047779685,0.0,0,nan,nan,nan,False,15776,0
1,Ainflate_A002.vtk,0.00200235,3253.81875,1.1782983572576744,0.0005566104658250531,556.6104658250531,0.09697546180740756,0,nan,nan,nan,False,15776,0
2,Ainflate_A003.vtk,0.00400069,6501.12125,1.2558041969913545,0.0005853509699141717,585.3509699141716,0.18901633567501155,0,nan,nan,nan,False,15776,0
3,Ainflate_A004.vtk,0.00600117,9751.90125,1.2311917989077221,0.000620608984014075,620.608984014075,0.4347153208094713,0,nan,nan,nan,False,15776,0
4,Ainflate_A005.vtk,0.00800111,13001.803750000001,1.319553097371973,0.0006568447463762856,656.8447463762856,0.8219186635476667,0,nan,nan,nan,False,15776,0
5,Ainflate_A006.vtk,0.0100019,16253.087499999998,1.4056146390119542,0.000699723276255124,699.723276255124,1.410851878843334,0,nan,nan,nan,False,15776,0
6,Ainflate_A007.vtk,0.0120006,19500.975,1.4909633038426557,0.0007537643388399738,753.7643388399739,2.3194531510385117,0,nan,nan,nan,False,15776,0
7,Ainflate_A008.vtk,0.0140026,22754.225000000002,1.6130943081612783,0.0008280980420077598,828.0980420077598,3.8136258592136816,0,nan,nan,nan,False,15776,0
8,Ainflate_A009.vtk,0.016,26000.0,1.8398340908377397,0.0009417258332930403,941.7258332930403,6.504757095628657,0,nan,nan,nan,False,15776,0
9,Ainflate_A010.vtk,0.0180013,29252.1125,2.2654339758310766,0.0011527101062143844,1152.7101062143845,12.281664626148997,0,nan,nan,nan,False,15776,0
10,Ainflate_A011.vtk,0.0200044,32507.149999999998,3.2340165914288033,0.0017791116080102,1779.1116080102,30.99241387773319,0,nan,nan,nan,False,15776,0
11,Ainflate_A012.vtk,0.0218243,35464.4875,127.19073691057459,0.03749122318982316,37491.22318982316,1186.1995038090533,0,nan,nan,nan,False,15776,0
