frame,file,t,p_Pa,lam_max,V_m3,V_mL,Psi_J,Psi_neg_elems,gap_m,gap_mm,gap_signed_m,punch,n_quads,n_tris
0,Ainflate_A001.vtk,0.0,0.0,1.0000000074505808,0.00044820737684866,448.20737684866003,0.0,0,0.0,0.0,0.0,False,986,0
1,Ainflate_A002.vtk,0.00201888,3280.68,1.3017877883339193,0.0005573282447097346,557.3282447097346,0.2729827548679453,0,1.1740358600071453e-07,0.00011740358600071453,-1.1740358600071453e-07,False,986,0
2,Ainflate_A003.vtk,0.00401471,6523.90375,1.3670715166217835,0.0005803445784783097,580.3445784783097,0.5653924413054301,0,6.515767730555623e-08,6.515767730555623e-05,-6.515767730555623e-08,False,986,0
3,Ainflate_A004.vtk,0.00602309,9787.52125,1.42402857446024,0.0006246792801620211,624.6792801620211,1.0820908355033179,0,5.761471022286459e-08,5.761471022286459e-05,5.761471022286459e-08,False,986,0
4,Ainflate_A005.vtk,0.00801447,13023.513749999998,1.4868085180447383,0.0006710902400795108,671.0902400795107,1.3278603125408452,0,3.958719504959422e-07,0.00039587195049594216,-3.958719504959422e-07,False,986,0
5,Ainflate_A006.vtk,0.0100157,16275.5125,1.5703411446501172,0.000714387303981488,714.387303981488,1.9640044715331453,0,4.934410222374609e-07,0.0004934410222374608,4.934410222374609e-07,False,986,0
6,Ainflate_A007.vtk,0.012021,19534.125,1.6113336634948903,0.0007673522667761883,767.3522667761882,3.024663058443374,0,2.0471712065699846e-08,2.0471712065699845e-05,-2.0471712065699846e-08,False,986,0
7,Ainflate_A008.vtk,0.014034,22805.25,1.6792908093586831,0.0008389653475752647,838.9653475752647,4.4973847051788995,0,5.422917268856303e-08,5.422917268856303e-05,-5.422917268856303e-08,False,986,0
8,Ainflate_A009.vtk,0.0160033,26005.3625,1.8128717049336105,0.0009464661945772905,946.4661945772905,7.104797616630112,0,2.406230472869712e-07,0.0002406230472869712,2.406230472869712e-07,False,986,0
9,Ainflate_A010.vtk,0.018007,29261.374999999996,2.0872482087189597,0.0011466033520767045,1146.6033520767046,12.664034306577966,0,2.4791804975978568e-08,2.4791804975978568e-05,2.4791804975978568e-08,False,986,0
10,Ainflate_A011.vtk,0.020014,32522.749999999996,2.821794172245796,0.0017204772324230086,1720.4772324230087,30.05916425032189,0,1.2990451464813186e-07,0.00012990451464813186,1.2990451464813186e-07,False,986,0
11,Ainflate_A012.vtk,0.0220003,35750.487499999996,18.89904783033442,0.032043765229609826,32043.765229609828,590.9396107128763,0,6.572077505788527e-08,6.572077505788526e-05,6.572077505788527e-08,False,986,0
12,Ainflate_A013.vtk,0.0222558,36165.674999999996,65.59248519892343,0.16072707055863175,160727.07055863176,3818.7733955233393,0,1.384615629638661e-07,0.0001384615629638661,1.384615629638661e-07,False,986,0
